"name","assetPath","previewPath","weaponClass","weaponModelType","promptCategory","colorNotes","prompt"
"Broken Sword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Broken Sword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Broken Sword.png","StraightSword","Weapon","sword","Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Broken Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Chitin Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Chitin Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Chitin Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Chitin Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crystal Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Axe.png","StraightSword","Weapon","axe","Color map: pommel/end cap is red; lower handle and wraps are red; upper handle is brown; head socket is charcoal; axe head and blade mass are charcoal.","Create a single game inventory icon PNG of 'Crystal Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is red; lower handle and wraps are red; upper handle is brown; head socket is charcoal; axe head and blade mass are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crystal Great Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Great Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Great Axe.png","StraightSword","Weapon","axe","Color map: axe head and blade mass are red; head socket is brown; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Crystal Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: axe head and blade mass are red; head socket is brown; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crystal Halberd","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Halberd.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Halberd.png","Spear","Weapon","polearm","Color map: end cap or tail is red; lower shaft or wraps are brown; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is brown.","Create a single game inventory icon PNG of 'Crystal Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is red; lower shaft or wraps are brown; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is brown. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crystal Ornate Sword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Ornate Sword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Ornate Sword.png","StraightSword","Weapon","sword","Color map: pommel/end cap is red-orange; grip and wrapping are red-orange; guard and center block are red; lower blade is brown; blade and tip are charcoal.","Create a single game inventory icon PNG of 'Crystal Ornate Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is red-orange; grip and wrapping are red-orange; guard and center block are red; lower blade is brown; blade and tip are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Crystal Twinblade","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Twinblade.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Twinblade.png","StraightSword","Weapon","sword","Color map: blade and tip are red; lower blade is red; guard and center block are brown; grip and wrapping are brown; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Crystal Twinblade'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade and tip are red; lower blade is red; guard and center block are brown; grip and wrapping are brown; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Curved Greatsword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Curved Greatsword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Curved Greatsword.png","StraightSword","Weapon","greatsword","Color map: blade tip is charcoal; main blade body is charcoal; guard is charcoal; grip is charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Curved Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade tip is charcoal; main blade body is charcoal; guard is charcoal; grip is charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Cutlass","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Cutlass.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Cutlass.png","StraightSword","Weapon","sword","Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Cutlass'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Double-Bladed Staff","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Double-Bladed Staff.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Double-Bladed Staff.png","Spear","Weapon","focus","Color map: major body zones read as charcoal, charcoal, and charcoal; end accents read as brown and charcoal.","Create a single game inventory icon PNG of 'Double-Bladed Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: major body zones read as charcoal, charcoal, and charcoal; end accents read as brown and charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Gem Goblin Hammer","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Goblin Hammer.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Goblin Hammer.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are red-orange; neck or upper shaft is red; shaft core is brown; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Gem Goblin Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are red-orange; neck or upper shaft is red; shaft core is brown; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Gem Staff","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Staff.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Staff.png","Spear","Weapon","focus","Color map: major body zones read as charcoal, charcoal, and charcoal; end accents read as brown and charcoal.","Create a single game inventory icon PNG of 'Gem Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: major body zones read as charcoal, charcoal, and charcoal; end accents read as brown and charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Goblin Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Axe.png","StraightSword","Weapon","axe","Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Goblin Club","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Club.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Club.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Goblin Club'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Goblin Great Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Great Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Great Axe.png","StraightSword","Weapon","axe","Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Goblin Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Goblin Halberd","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Halberd.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Halberd.png","Spear","Weapon","polearm","Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal.","Create a single game inventory icon PNG of 'Goblin Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Goblin Mace","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Mace.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Mace.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Goblin Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
