assetPath,displayName,prefabName,category,colorNotes,prompt
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Broken Sword.asset","Broken Sword","Weapon_Dungeon_BrokenSword_01","Sword","Overall palette reads as palette of brown, dark orange, dark yellow. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Broken Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark orange, dark yellow. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Chitin Shield.asset","Chitin Shield","Weapon_Dungeon_Shield_Chitin_01","Shield","Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Chitin Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Axe.asset","Crystal Axe","Weapon_Dungeon_Crystal_Axe_01","Axe","Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Crystal Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Great Axe.asset","Crystal Great Axe","Weapon_Dungeon_Crystal_Axe_Large_01","Axe","Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Crystal Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Halberd.asset","Crystal Halberd","Weapon_Dungeon_Crysta_Halberdl_01","Polearm","Overall palette reads as palette of brown, dark yellow, red. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Crystal Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark yellow, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Ornate Sword.asset","Crystal Ornate Sword","Weapon_Dungeon_Crystal_Ornate_Straightsword_01","Sword","Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Crystal Ornate Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Twinblade.asset","Crystal Twinblade","Weapon_Dungeon_Crystal_DoubleSword_01","Sword","Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Crystal Twinblade'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Curved Greatsword.asset","Curved Greatsword","Weapon_Dungeon_Greatsword_Curved_01","Greatsword","Overall palette reads as palette of brown, red. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Curved Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Cutlass.asset","Cutlass","Weapon_Dungeon_Cutlass_01","Sword","Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Cutlass'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Double-Bladed Staff.asset","Double-Bladed Staff","Weapon_Dungeon_Staff_DoubleBlade_01","Focus","Overall palette reads as palette of brown, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Double-Bladed Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Goblin Hammer.asset","Gem Goblin Hammer","Weapon_Dungeon_Goblin_Gem_Hammer_01","Blunt","Overall palette reads as palette of dark gold, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Gem Goblin Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Staff.asset","Gem Staff","Weapon_Dungeon_Staff_Gem_01","Focus","Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Gem Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Axe.asset","Goblin Axe","Weapon_Dungeon_Goblin_Axe_01","Axe","Overall palette reads as palette of dark gold, red, brown. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, red, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Club.asset","Goblin Club","Weapon_Dungeon_Goblin_Club_01","Blunt","Overall palette reads as palette of brown, dark gold, dark red. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Club'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Great Axe.asset","Goblin Great Axe","Weapon_Dungeon_Goblin_Axe_Large_01","Axe","Overall palette reads as palette of red, brown, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of red, brown, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Halberd.asset","Goblin Halberd","Weapon_Dungeon_Goblin_Halberd_01","Polearm","Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Mace.asset","Goblin Mace","Weapon_Dungeon_Goblin_Mace_01","Blunt","Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Machete.asset","Goblin Machete","Weapon_Dungeon_Goblin_Machete_01","Sword","Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Machete'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Spear.asset","Goblin Spear","Weapon_Dungeon_Goblin_Spear_01","Polearm","Overall palette reads as palette of dark gold, dark orange, brown. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Spear'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, dark orange, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Staff.asset","Goblin Staff","Weapon_Dungeon_Goblin_Staff_01","Focus","Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Goblin Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
