displayName	assetPath	previewPath	prefabName	category	colorNotes	materialSummary	prompt
Chitin Shield	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Chitin Shield.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Chitin Shield.png	Weapon_Dungeon_Shield_Chitin_01	Shield	"Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of dark orange, dark gold, brown"	"Create a single game inventory icon PNG of 'Chitin Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Crystal Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Axe.png	Weapon_Dungeon_Crystal_Axe_01	Axe	"Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference."	"accent: palette of brown, red, dark yellow"	"Create a single game inventory icon PNG of 'Crystal Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Crystal Great Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Great Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Great Axe.png	Weapon_Dungeon_Crystal_Axe_Large_01	Axe	"Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference."	"accent: palette of brown, red, dark yellow"	"Create a single game inventory icon PNG of 'Crystal Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark yellow. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Crystal Halberd	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Halberd.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Halberd.png	Weapon_Dungeon_Crysta_Halberdl_01	Polearm	"Overall palette reads as palette of brown, dark yellow, red. Keep these same flat color families in the same visible places as the prefab reference."	"accent: palette of brown, dark yellow, red"	"Create a single game inventory icon PNG of 'Crystal Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark yellow, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Crystal Ornate Sword	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Ornate Sword.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Ornate Sword.png	Weapon_Dungeon_Crystal_Ornate_Straightsword_01	Sword	"Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"accent: palette of brown, red, dark orange"	"Create a single game inventory icon PNG of 'Crystal Ornate Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Crystal Twinblade	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Twinblade.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Twinblade.png	Weapon_Dungeon_Crystal_DoubleSword_01	Sword	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Crystal Twinblade'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Curved Greatsword	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Curved Greatsword.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Curved Greatsword.png	Weapon_Dungeon_Greatsword_Curved_01	Greatsword	"Overall palette reads as palette of brown, red. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, red"	"Create a single game inventory icon PNG of 'Curved Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Cutlass	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Cutlass.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Cutlass.png	Weapon_Dungeon_Cutlass_01	Sword	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Cutlass'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Double-Bladed Staff	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Double-Bladed Staff.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Double-Bladed Staff.png	Weapon_Dungeon_Staff_DoubleBlade_01	Focus	"Overall palette reads as palette of brown, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, dark orange, red"	"Create a single game inventory icon PNG of 'Double-Bladed Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Gem Goblin Hammer	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Goblin Hammer.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Goblin Hammer.png	Weapon_Dungeon_Goblin_Gem_Hammer_01	Blunt	"Overall palette reads as palette of dark gold, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference."	"accent: palette of dark gold, dark orange, red"	"Create a single game inventory icon PNG of 'Gem Goblin Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Gem Staff	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Staff.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Staff.png	Weapon_Dungeon_Staff_Gem_01	Focus	"Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference."	"accent: palette of dark gold, brown, red"	"Create a single game inventory icon PNG of 'Gem Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Goblin Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Axe.png	Weapon_Dungeon_Goblin_Axe_01	Axe	"Overall palette reads as palette of dark gold, red, brown. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of dark gold, red, brown"	"Create a single game inventory icon PNG of 'Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, red, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Goblin Club	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Club.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Club.png	Weapon_Dungeon_Goblin_Club_01	Blunt	"Overall palette reads as palette of brown, dark gold, dark red. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, dark gold, dark red"	"Create a single game inventory icon PNG of 'Goblin Club'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Goblin Great Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Great Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Great Axe.png	Weapon_Dungeon_Goblin_Axe_Large_01	Axe	"Overall palette reads as palette of red, brown, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of red, brown, dark orange"	"Create a single game inventory icon PNG of 'Goblin Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of red, brown, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Goblin Halberd	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Halberd.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Halberd.png	Weapon_Dungeon_Goblin_Halberd_01	Polearm	"Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of dark orange, dark gold, brown"	"Create a single game inventory icon PNG of 'Goblin Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark orange, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Goblin Mace	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Mace.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Mace.png	Weapon_Dungeon_Goblin_Mace_01	Blunt	"Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, red, dark orange"	"Create a single game inventory icon PNG of 'Goblin Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
